"","PN38065GM"
"","Empleo en Lima Metropolitana - Promedio móvil tres meses (porcentaje) - Tasa de Desempleo (%) - Por Género - Mujer"
May01,10.8148647352449
Jun01,10.8073455247867
Jul01,10.2455834552561
Ago01,10.8563148717512
Sep01,10.8922701900253
Oct01,10.7904890968814
Nov01,10.5687375374615
Dic01,9.90648655931193
Ene02,10.7340026301448
Feb02,11.5005855995812
Mar02,12.1896828512346
Abr02,12.449179311689
May02,11.531657809977
Jun02,11.4167550964977
Jul02,10.2807296793397
Ago02,10.1264915882211
Sep02,9.58686522873468
Oct02,9.63772745183629
Nov02,9.85288034982991
Dic02,10.0488054223753
Ene03,10.7660338107958
Feb03,11.0511206835157
Mar03,11.8808917147846
Abr03,11.6441845577285
May03,11.0434927515225
Jun03,10.2934847194446
Jul03,9.6149709056954
Ago03,10.2752409042354
Sep03,9.77272605481026
Oct03,9.96712052782021
Nov03,9.56971384653085
Dic03,10.3363529411891
Ene04,11.2319756846985
Feb04,11.8348342074816
Mar04,12.1087864200402
Abr04,12.0110638849011
May04,11.4015269918853
Jun04,10.9862641115127
Jul04,10.1450216552595
Ago04,10.4956974168849
Sep04,10.5911782943371
Oct04,11.295200924023
Nov04,10.5996150247969
Dic04,10.5318489784648
Ene05,11.9909488829103
Feb05,12.6227217049198
Mar05,13.3397418600425
Abr05,11.8810377851845
May05,11.7049152902767
Jun05,10.8473069661205
Jul05,10.2946024317023
Ago05,10.8424649865052
Sep05,10.9673271551752
Oct05,10.471585013842
Nov05,10.0292445574484
Dic05,9.50786660017602
Ene06,10.6781834147754
Feb06,10.5141457267236
Mar06,10.5668321732453
Abr06,10.5922829840325
May06,10.8067453617984
Jun06,10.8548772696476
Jul06,9.74607938797647
Ago06,9.52865560842102
Sep06,9.37826113691976
Oct06,9.4944315567228
Nov06,9.25783419135014
Dic06,9.42702015731185
Ene07,10.4626937385556
Feb07,11.4405364484019
Mar07,11.0903397799986
Abr07,10.9769239808062
May07,9.87307915607734
Jun07,9.85645466153954
Jul07,9.22266035796603
Ago07,9.65982466333496
Sep07,9.75010211283614
Oct07,9.7147320419761
Nov07,9.37891274679281
Dic07,8.69598779609567
Ene08,9.83665639583523
Feb08,11.2921100802437
Mar08,11.9331740927694
Abr08,11.3132300804674
May08,10.1280732771815
Jun08,10.0621603161278
Jul08,10.2933000407569
Ago08,10.651453333481
Sep08,11.2426673149714
Oct08,10.5158250032645
Nov08,9.72256104888476
Dic08,9.60588851674584
Ene09,10.4829370934864
Feb09,11.2051395503669
Mar09,11.1122843126956
Abr09,11.0049833264351
May09,11.0837731547936
Jun09,10.9866017052375
Jul09,10.580943479758
Ago09,10.0738318220108
Sep09,9.51055900621119
Oct09,9.12895760500271
Nov09,9.06577415599534
Dic09,9.85796653072705
Ene10,10.6293706293706
Feb10,11.5379294443163
Mar10,11.0993071593533
Abr10,10.566090222078
May10,9.11086205286262
Jun10,9.08790170132325
Jul10,8.62158219210316
Ago10,9.21834385443744
Sep10,9.25951685445356
Oct10,9.6314405646017
Nov10,9.65806001395673
Dic10,9.02966220641901
Ene11,9.85988828931175
Feb11,11.5926676492262
Mar11,11.8369779489295
Abr11,11.1558835514103
May11,8.95035857315824
Jun11,9.2327881145428
Jul11,8.86665115196649
Ago11,9.22305298843636
Sep11,9.63595464352936
Oct11,10.05071461503
Nov11,9.82890258485879
Dic11,9.62225740782629
Ene12,9.9629830263633
Feb12,10.6742077385762
Mar12,10.8150824113795
Abr12,10.1638293977668
May12,8.78818457022291
Jun12,7.82047711872273
Jul12,7.71555474151747
Ago12,8.21329639889197
Sep12,8.25566520467837
Oct12,7.80802953391786
Nov12,7.34625181950509
Dic12,7.17788880231012
Ene13,7.68417180171066
Feb13,8.31373633974269
Mar13,8.04582026455748
Abr13,6.93020327397013
May13,7.2119732320492
Jun13,7.51494836021018
Jul13,7.52702702702702
Ago13,6.22771785730403
Sep13,6.38517918971177
Oct13,6.72174576803915
Nov13,7.07173971019648
Dic13,6.83598070881819
Ene14,7.45989304812835
Feb14,8.22129160238043
Mar14,8.28709663100893
Abr14,7.21502648328659
May14,6.77314270201791
Jun14,6.38788426763111
Jul14,6.60876645406432
Ago14,6.74132138857783
Sep14,6.92695214105794
Oct14,6.61920764060841
Nov14,6.15938845444161
Dic14,6.21634636431292
Ene15,7.52155648905593
Feb15,8.26195809724601
Mar15,8.59821233921953
Abr15,8.40175507189713
May15,8.63801957599966
Jun15,8.35593665237553
Jul15,8.00721132706006
Ago15,7.86215978928885
Sep15,7.85331105443672
Oct15,6.76349447214394
Nov15,6.46184171058832
Dic15,6.41251558000601
Ene16,7.81372293242892
Feb16,8.02589840524922
Mar16,8.56833910034602
Abr16,7.95619193727094
May16,8.2906901741561
Jun16,7.91596566153315
Jul16,7.68361581920905
Ago16,7.27154046997389
Sep16,6.88031393067365
Oct16,6.84701733258784
Nov16,6.30323679727428
Dic16,6.82885906040269
Ene17,7.98429319371727
Feb17,8.56196381551006
Mar17,8.55050246976666
Abr17,7.62542940752365
May17,7.36275012827092
Jun17,7.81403284282362
Jul17,8.18051212710217
Ago17,7.57813144223634
Sep17,7.51728110599079
Oct17,6.74058943682522
Nov17,7.1664230528294
Dic17,7.04270752833934
Ene18,7.93650793650794
Feb18,9.1996511193255
Mar18,9.16336323805549
Abr18,8.95034933234115
May18,8.01978963123103
Jun18,7.81474288609305
Jul18,7.68619579308327
Ago18,7.82067247820673
Sep18,7.45477875739889
Oct18,7.24843423799582
Nov18,6.52334454746861
Dic18,6.78881937108962
Ene19,7.2505943110091
Feb19,8.80226082619897
Mar19,9.80798739269274
Abr19,9.3452528764175
May19,8.27956989247311
Jun19,7.49554330251647
Jul19,6.60905349794238
Ago19,6.79795649307844
Sep19,6.85528642513467
Oct19,7.87521010125857
Nov19,7.66042183118625
Dic19,7.33485558626769
Ene20,7.96456645784286
Feb20,9.01296191933015
Mar20,9.20240245285396
Abr20,9.56608038815681
May20,12.3877644194187
Jun20,16.5306476818892
Jul20,16.5165554331627
Ago20,16.3390728476821
Sep20,17.2
Oct20,17.5694172858819
Nov20,17.2
Dic20,15.7428034770454
Ene21,15.2932506827344
Feb21,16.8063063063063
Mar21,17.9407681628876
Abr21,17.8510491122896
May21,14.4912867452913
Jun21,12.7550801220088
Jul21,11.9258178071606
