UN member or observer state,Overall name of legislature,Name of house(s),House level,Term (years),Electoral system,Seats,Population per seat
Afghanistan,National Assembly (ملی شورا Mili Shura / شورای ملی Shura-e Milli),House of the People (ولسي جرګه Wolesi Jirga),Lower,5,Single non-transferable vote,249,"122,168"
Afghanistan,National Assembly (ملی شورا Mili Shura / شورای ملی Shura-e Milli),House of Elders (مشرانوجرګه Meshrano Jirga),Upper,"3, 4 and 5","Elected by district and provincial councils, and appointed by the president",102,"298,234"
Albania,Parliament (Kuvendi i Shqipërisë),Parliament (Kuvendi i Shqipërisë),Unicameral,4,Closed listproportional representation with the D'Hondt method by county with a 3% threshold,140,"20,226"
Algeria,"Parliament (البرلمان, Parlement)","People's National Assembly (المجلس الشعبي الوطني al-Majlis al-Sha'abi al-Watani, Assemblée populaire nationale)",Lower,5,Open listproportional representation with the largest remainder method by province,407,"80,303"
Algeria,"Parliament (البرلمان, Parlement)","Council of the Nation (مجلس الأمة Majlis al-Umma, Conseil de la nation)",Upper,6,"Elected by popular wilaya assemblies and communal people's assemblies, and appointed by the President",144,"257,638"
Andorra,General Council (Consell General),General Council (Consell General),Unicameral,4,Parallel voting: Closed listproportional representation with the largest remainder method nationwide and block vote by parish,28,"2,789"
Angola,National Assembly (Assembleia Nacional),National Assembly (Assembleia Nacional),Unicameral,4,Closed listproportional representation with the D'Hondt method nationwide and by province,220,"84,081"
Antigua and Barbuda,Parliament,House of Representatives,Lower,5,First-past-the-post,17,"4,305"
Antigua and Barbuda,Parliament,Senate,Upper,5,"Appointed by the Governor-General, representing the monarch, on the advice of the Prime Minister and Leader of the Opposition",19,"4,811"
Argentina,National Congress of Argentina (Congreso de la Nación Argentina),Chamber of Deputies of the Nation (Cámara de Diputados de la Nación),Lower,4,Closed listproportional representation with the D'Hondt method by province with a 3% threshold,257,"156,097"
Argentina,National Congress of Argentina (Congreso de la Nación Argentina),Senate of the Nation (Senado de la Nación),Upper,6,Partial block voting by province,72,"557,181"
Armenia,National Assembly (Ազգային Ժողով Azgayin Zhoghov),National Assembly (Ազգային Ժողով Azgayin Zhoghov),Unicameral,5,Closed listproportional representation in a nationwide constituency with a 5% threshold,105,"24,902"
Australia,Parliament of Australia,House of Representatives,Lower,3,Instant-runoff voting,151,"162,914"
Australia,Parliament of Australia,Senate,Upper,6,Single transferable vote by state/territory,76,"323,684"
Austria,Austrian Parliament,National Council (Nationalrat),Lower,5,Open listproportional representation with the D'Hondt method in constituencies with a 4% threshold,183,"43,895"
Austria,Austrian Parliament,Federal Council (Bundesrat),Upper,5 and 6,Elected by state legislatures,61,"129,563"
Azerbaijan,National Assembly (Milli Məclis),National Assembly (Milli Məclis),Unicameral,5,First-past-the-post,125,"73,320"
"Bahamas, The",Parliament,House of Assembly,Lower,5,First-past-the-post,39,"9,326"
"Bahamas, The",Parliament,Senate,Upper,5,"Appointed by the Governor-General, representing the monarch,  on the advice of the Prime Minister and Leader of the Opposition",16,"22,103"
Bahrain,National Assembly (المجلس الوطني),Council of Representatives (مجلس النواب Majlis an-nuwab),Lower,4,Two-round system,40,"30,864"
Bahrain,National Assembly (المجلس الوطني),Consultative Council (مجلس الشورى Majlis al-shura),Upper,4,Appointed by the king,40,"30,864"
Bangladesh,National Parliament (জাতীয় সংসদ Jatiya Sangsad),National Parliament (জাতীয় সংসদ Jatiya Sangsad),Unicameral,5,First-past-the-post,350,"466,909"
Barbados,Parliament,House of Assembly,Lower,5,First-past-the-post,30,"9,486"
Barbados,Parliament,Senate,Upper,5,"Appointed by the Governor-General, representing the monarch, on the advice of the Prime Minister and Leader of the Opposition",21,"13,551"
Belarus,National Assembly (Нацыянальны сход Nacyjanaĺny schod / Национальное собрание),House of Representatives (Палата прадстаўнікоў Palata pradstaŭnikoŭ / Палата представителей),Lower,4,Two-round system,110,"85,997"
Belarus,National Assembly (Нацыянальны сход Nacyjanaĺny schod / Национальное собрание),Council of the Republic (Савет Рэспублікі Saviet Respubliki / Совет Республики),Upper,4,"Elected by regional councils, and appointed by the President",64,"147,773"
Belgium,Federal Parliament (Federaal Parlement / Parlement fédéral / Föderales Parlament),Chamber of Representatives(Kamer van Volksvertegenwoordigers / Chambre des Représentants / Abgeordnetenkammer),Lower,5,Open listproportional representation with the D'Hondt method by province with a 5% threshold,150,"74,000"
Belgium,Federal Parliament (Federaal Parlement / Parlement fédéral / Föderales Parlament),Senate (Senaat / Sénat / Senat),Upper,5,Elected by community and regional parliaments,60,"185,000"
Belize,National Assembly,House of Representatives,Lower,5,First-past-the-post,31,"10,748"
Belize,National Assembly,Senate,Upper,5,"Appointed by the Governor-General, representing the monarch, on the advice of the Prime Minister and Leader of the Opposition",12,"27,766"
Benin,National Assembly (Assemblée nationale),National Assembly (Assemblée nationale),Unicameral,4,Proportional representation with the largest remainder method in constituencies,83,"115,648"
Bhutan,Parliament of Bhutan,National Assembly (རྒྱལ་ཡོངས་ཚོགས་འདུ། Gyelyong Tshogdu),Lower,5,First-past-the-post,47,"15,072"
Bhutan,Parliament of Bhutan,National Council (རྒྱལ་ཡོངས་ཚོགས་སྡེ། Gyelyong Tshogde),Upper,4,"First-past-the-post, and appointed by the king",25,"28,337"
Bolivia,Plurinational Legislative Assembly (Asamblea Legislativa Plurinacional),Chamber of Deputies (Cámara de Diputados),Lower,5,Closed listmixed-member proportional representation: Proportional representation with the D'Hondt method by department and first-past-the-post,130,"83,905"
Bolivia,Plurinational Legislative Assembly (Asamblea Legislativa Plurinacional),Chamber of Senators (Cámara de Senadores),Upper,5,Closed listproportional representation with the D'Hondt method by department,36,"302,993"
Bosnia and Herzegovina,Parliamentary Assembly (Parlamentarna skupština / Парламентарна скупштина),House of Representatives (Predstavnički dom / Zastupnički dom / Представнички дом),Lower,4,Open listproportional representation with the largest remainder method in constituencies,42,"91,422"
Bosnia and Herzegovina,Parliamentary Assembly (Parlamentarna skupština / Парламентарна скупштина),House of Peoples (Dom naroda / Дом народa),Upper,4,"Serbs elected by the National Assembly of Republika Srpska, and Bosniaks and Croats elected by the House of Peoples of the Federation of Bosnia and Herzegovina",15,"255,982"
Botswana,Parliament of Botswana (Palamente),National Assembly (Khudutlhamaga ya Botswana),Unicameral,5,"First-past-the-post, and appointed by the President",63,"32,211"
Brazil,National Congress (Congresso Nacional),Chamber of Deputies (Câmara dos Deputados),Lower,4,Open listproportional representation with the D'Hondt method by state,513,"371,798"
Brazil,National Congress (Congresso Nacional),Federal Senate (Senado Federal),Upper,8,Partial block voting by state,81,"2,354,724"
Brunei,Legislative Council (Majlis Mesyuarat Negara),Legislative Council (Majlis Mesyuarat Negara),Unicameral,no timeframe,Appointed by the Sultan,36,"11,355"
Bulgaria,National Assembly (Народно събрание Narodno sabranie),National Assembly (Народно събрание Narodno sabranie),Unicameral,4,Closed listproportional representation with the largest remainder method by constituency with a 4% threshold,240,"30,685"
Burkina Faso,National Assembly (Assemblée nationale),National Assembly (Assemblée nationale),Unicameral,5,Proportional representation with the D'Hondt method nationwide and in constituencies,127,"126,281"
Burundi,Parliament (Parlement),National Assembly (Assemblée nationale),Lower,5,Closed listproportional representation with the D'Hondt method in constituencies with a 2% threshold,121,"74,570"
Burundi,Parliament (Parlement),Senate (Sénat),Upper,5,Elected by the communal councils,43,"179,577"
Cambodia,Parliament(សភាតំណាងរាស្ត្រ ព្រះរាជាណាចក្រកម្ពុជា),National Assembly (រដ្ឋសភាជាតិ; Rotsaphea),Lower,5,Closed listproportional representation with the D'Hondt method by province,123,"108,852"
Cambodia,Parliament(សភាតំណាងរាស្ត្រ ព្រះរាជាណាចក្រកម្ពុជា),Senate (ព្រឹទ្ធសភា; Protsaphea),Upper,6,"Appointed by the monarch, elected by the National Assembly and commune councils",61,"219,490"
Cameroon,Parliament (Parlement),National Assembly (Assemblée nationale),Lower,5,"First-past-the-post and Block vote: If no list obtains an absolute majority, the one with the highest number of votes is allocated half of the seats; the remainder is allocated to the other best-placed lists through proportional representation",180,"97,021"
Cameroon,Parliament (Parlement),Senate (Sénat),Upper,5,"Elected by municipal councils, and appointed by the president",100,"174,638"
Canada,Parliament / Parlement,House of Commons / Chambre des communes),Lower,"4 years, unless elections are called earlier",First-past-the-post voting,338,"104,571"
Canada,Parliament / Parlement,Senate / Sénat,Upper,"Until age 75, or resigns.","Appointed by the governor general, representing the monarch, on the advice of the Prime Minister",105,"318,825"
Cape Verde,National Assembly (Asembleia Nacional),National Assembly (Asembleia Nacional),Unicameral,5,Closed listproportional representation with the D'Hondt method in constituencies,72,"4,990"
Central African Republic,National Assembly (Assemblée nationale),National Assembly (Assemblée nationale),Unicameral,5,Two-round system,131,"38,951"
Chad,National Assembly (Assemblée nationale / الجمعية الوطنية),National Assembly (Assemblée nationale / الجمعية الوطنية),Unicameral,4,"Block voting: If no list obtains an absolute majority, the seats are allocated through proportional representation",188,"66,640"
Chile,National Congress (Congreso Nacional),Chamber of Deputies (Cámara de Diputados),Lower,4,Binomial voting system (To become open list proportional representation with the D'Hondt method  in constituencies by the next election),155,"145,021"
Chile,National Congress (Congreso Nacional),Senate of the Republic (Senado de la República),Upper,8,Binomial voting system,38,"457,963"
China,National People's Congress (全国人民代表大会 Quánguó Rénmín Dàibiǎo Dàhuì),National People's Congress (全国人民代表大会 Quánguó Rénmín Dàibiǎo Dàhuì),Unicameral,5,"Elected by municipal, regional and provincial congresses, and People's Liberation Army","2,980","448,518"
Colombia,Congress (Congreso),Chamber of Representatives (Cámara de Representantes),Lower,4,Open or closed list proportional representation (depending on the political party) with the D'Hondt method by state,166,"279,556"
Colombia,Congress (Congreso),Senate (Senado),Upper,4,Open or closed list proportional representation (depending on the political party) with the D'Hondt method nationwide with a 3% threshold,102,"454,964"
Comoros,Assembly of the Union (Assemblée de l'Union),Assembly of the Union (Assemblée de l'Union),Unicameral,5,"Two-round system, and elected by the local assemblies",33,"24,181"
"Congo, Democratic Republic of the",Parliament (Parlement),National Assembly (Assemblée nationale),Lower,5,Parallel voting: Open listproportional representation with the largest remainder method in constituencies and first-past-the-post voting,500,"143,425"
"Congo, Democratic Republic of the",Parliament (Parlement),Senate (Sénat),Upper,5,Elected by the provincial assemblies,108,"664,008"
"Congo, Republic of the",Parliament (Parlement),National Assembly (Assemblée nationale),Lower,5,Two-round system,151,"28,537"
"Congo, Republic of the",Parliament (Parlement),Senate (Sénat),Upper,5,"Elected by district, local, and regional councils",52,"83,966"
Costa Rica,Legislative Assembly (Asamblea Legislativa),Legislative Assembly (Asamblea Legislativa),Unicameral,4,Closed listproportional representation with the largest remainder method by province,57,"75,468"
Croatia,Croatian Assembly (Hrvatski državni sabor),Croatian Assembly (Hrvatski državni sabor),Unicameral,4,Open listproportional representation with the D'Hondt method in constituencies with a 5% threshold,151,"28,414"
Cuba,National Assembly of People's Power (Asamblea Nacional del Poder Popular),National Assembly of People's Power (Asamblea Nacional del Poder Popular),Unicameral,5,Popular vote and approval by special candidacy commissions,612,"18,308"
Cyprus,House of Representatives (Βουλή των Αντιπροσώπων Vouli Antiprosópon / Temsilciler Meclisi),House of Representatives (Βουλή των Αντιπροσώπων Vouli Antiprosópon / Temsilciler Meclisi),Unicameral,5,Open listproportional representation with the largest remainder method by constituency,56,"18,632"
Czech Republic,Parliament of the Czech Republic (Parlament České republiky),Chamber of Deputies (Poslanecká sněmovna),Lower,4,Open listproportional representation with the D'Hondt method by region with a 5% threshold,200,"52,811"
Czech Republic,Parliament of the Czech Republic (Parlament České republiky),Senate (Senát),Upper,6,Two-round system (staggered elections),81,"130,397"
Denmark,People's Assembly (Folketinget),People's Assembly (Folketinget),Unicameral,4,Open listproportional representation with the D'Hondt method in constituencies with a 2% threshold including the Faroe Islands and Greenland seats,179,"30,969"
Djibouti,National Assembly (Assemblée nationale / الجمعية الوطنية),National Assembly (Assemblée nationale / الجمعية الوطنية),Unicameral,5,"Block vote and closed list proportional representation by constituencies: The list obtaining an absolute or relative majority of votes is allocated 80% of the seats; the remainder is allocated to the other best-placed lists which obtained at least 10% of the valid votes through proportional representation; if no other list obtains 10% of the valid votes, the remaining seats will be allocated to the party which won the majority or relative majority of the valid votes",65,"12,587"
Dominica,House of Assembly,House of Assembly,Unicameral,5,"First-past-the-post voting, and appointed by the President",32,"3,394"
Dominican Republic,National Congress (Congreso Nacional),Chamber of Deputies (Cámara de Diputados),Lower,4,Open listproportional representation with the D'Hondt method by province and nationwide with a 1% threshold for the nationwide seats,183,"51,520"
Dominican Republic,National Congress (Congreso Nacional),Senate (Senado),Upper,4,First-past-the-post voting,32,"293,088"
East Timor,National Parliament (Parlamentu Nasionál / Parlamento Nacional),National Parliament (Parlamentu Nasionál / Parlamento Nacional),Unicameral,5,Closed listproportional representation with the D'Hondt method nationwide with a 3% threshold,65,"16,408"
Ecuador,National Assembly (Asamblea Nacional),National Assembly (Asamblea Nacional),Unicameral,4,Parallel voting: Closed listproportional representation in a nationwide constituency and first-past-the-post voting,137,"116,802"
Egypt,Parliament (برلمان),Senate (مجلس الشيوخ Majlis Alshuyukh),Upper,5,,300,
Egypt,Parliament (برلمان),House of Representatives (مجلس النواب Majilis Al-Nuwab),Lower,5,"Parallel voting: First-past-the-post voting, block vote, and appointed by the President",596,"150,983"
El Salvador,Legislative Assembly (Asamblea Legislativa),Legislative Assembly (Asamblea Legislativa),Unicameral,3,Open listproportional representation with the largest remainder method by department and nationwide,84,"68,382"
Equatorial Guinea,Parliament (Parlamento / Parlement / Parlamento),Chamber of Deputies (Cámara de los Diputados / Chambre des députés / Câmara dos Deputados),Lower,5,Closed listproportional representation in constituencies with a 10% threshold,100,"16,220"
Equatorial Guinea,Parliament (Parlamento / Parlement / Parlamento),Senate (Senado / Sénat / Senado),Upper,,"Closed listproportional representation with a 10% threshold, and appointed by the President",70,"23,171"
Eritrea,National Assembly (Hagerawi Baito),National Assembly (Hagerawi Baito),Unicameral,5,Popular vote,104,"50,878"
Estonia,State Assembly (Riigikogu),State Assembly (Riigikogu),Unicameral,4,Open listproportional representation with the D'Hondt method in constituencies with a 5% threshold,101,"12,814"
Eswatini,Parliament (Liblanda),House of Assembly,Lower,5,majority,55,"22,181"
Eswatini,Parliament (Liblanda),Senate (Indlu yeTimphunga),Upper,,appointed by the King,30,"40,666"
Ethiopia,Parliament,House of Peoples' Representatives (የሕዝብ ተወካዮች ምክር ቤት Yehizbtewekayoch Mekir Bet),Lower,5,First-past-the-post voting,547,"135,134"
Ethiopia,Parliament,House of Federation (የሕዝብ ተወካዮች ምክር ቤት Yefedereshn Mekir Bet),Upper,5,Elected by State Councils,112,"659,986"
Federated States of Micronesia,Congress,Congress,Unicameral,4,First-past-the-post voting,14,"7,642"
Fiji,Parliament,Parliament,Unicameral,4,Open listproportional representation with the D'Hondt method nationwide with a 5% threshold,50,"16,745"
Finland,Parliament (Eduskunta / Riksdagen),Parliament (Eduskunta / Riksdagen),Unicameral,4,"Open listproportional representation with the D'Hondt method in constituencies, and first-past-the-post for Åland's lone seat",200,"25,900"
France,Parliament (Parlement),National Assembly (Assemblée nationale),Lower,5,Two-round system,577,"113,258"
France,Parliament (Parlement),Senate (Sénat),Upper,6,"Elected indirectly by officials including regional councilors, department councilors, mayors, city councilors, and members of the National Assembly",348,"187,787"
Gabon,Parliament (Parlement),National Assembly (Assemblée nationale),Lower,5,"First-past-the-post voting, and appointed by the President",121,"12,190"
Gabon,Parliament (Parlement),Senate (Sénat),Upper,6,Indirectly elected by local and départemental councillors,102,"14,460"
Gambia,National Assembly,National Assembly,Unicameral,5,"First-past-the-post voting, and appointed by the President",58,"25,673"
Georgia,Parliament of Georgia (საქართველოს პარლამენტი Sak'art'velos Parlamenti),Parliament of Georgia (საქართველოს პარლამენტი Sak'art'velos Parlamenti),Unicameral,4,"Parallel voting: Closed listproportional representation in a nationwide constituency with a 5% threshold, and first-past-the-post",150,"29,794"
Germany,Federal Diet (Bundestag),Federal Diet (Bundestag),N/A (unofficially Lower house),4,"Closed listmixed-member proportional representation with the Sainte-Laguë method by state with a 5% threshold, and first-past-the-post",709,"128,500"
Germany,Federal Council (Bundesrat),Federal Council (Bundesrat),N/A (unofficially Upper house),dependent on individual state elections,Delegated from state governments,69,"1,185,501"
Ghana,Parliament,Parliament,Unicameral,4,First-past-the-post voting,275,"106,286"
Greece,Hellenic Parliament (Βουλή των Ελλήνων Vouli ton Ellinon),Hellenic Parliament (Βουλή των Ελλήνων Vouli ton Ellinon),Unicameral,4,Open listreinforced proportional representation with the D'Hondt method in constituencies with a 3% threshold,300,"35,958"
Grenada,Parliament,House of Representatives,Lower,5,First-past-the-post voting,15,"7,333"
Grenada,Parliament,Senate,Upper,5,appointed by the government and by the leader of opposition,13,"8,461"
Guatemala,Congress of the Republic (Congreso de la República),Congress of the Republic (Congreso de la República),Unicameral,4,proportionalclosed list,158,"80,557"
Guinea,National Assembly (Assemblée nationale),National Assembly (Assemblée nationale),Unicameral,5,proportionalclosed list,114,"88,227"
Guinea-Bissau,National People's Assembly (Assembleia Nacional Popular),National People's Assembly (Assembleia Nacional Popular),Unicameral,4,proportionalclosed list,100,"13,454"
Guyana,National Assembly,National Assembly,Unicameral,5,popular vote and appointed by the President,65,"11,583"
Haiti,Haitian Parliament (Parlement Haïtien / Palman Ayisyen),Chamber of Deputies (Chambre des députés / Chanm Depite),Lower,4,proportional,119,"98,181"
Haiti,Haitian Parliament (Parlement Haïtien / Palman Ayisyen),Senate (Sénat / Sena),Upper,6,,30,"323,997"
Honduras,National Congress (Congreso Nacional),National Congress (Congreso Nacional),Unicameral,4,proportionalopen list,128,"58,823"
Hungary,National Assembly (Országgyűlés),National Assembly (Országgyűlés),Unicameral,4,proportionalopen listand Scorporo,199,"25,860"
Iceland,Assembly of All (Alþingi),Assembly of All (Alþingi),Unicameral,4,proportional,63,"5,080"
India,Parliament (संसद Sansad),House of the People (लोक सभा Lok Sabha),Lower,5,First-past-the-post,543,"2,192,379"
India,Parliament (संसद Sansad),Council of States (राज्य सभा Rajya Sabha),Upper,6,"Single transferable vote (233 members are elected by the legislative assemblies of the States/Union territories, 12 members are nominated by the President)",245,"4,847,900"
Indonesia,People's Consultative Assembly (Majelis Permusyawaratan Rakyat),People's Representative Council (Dewan Perwakilan Rakyat),Lower,5,proportionalopen list,575,"467,101"
Indonesia,People's Consultative Assembly (Majelis Permusyawaratan Rakyat),Regional Representative Council (Dewan Perwakilan Daerah),Upper,5,Single non-transferable vote,136,"1,974,875"
Iran,Islamic Consultative Assembly (مجلس شورای اسلامی  Majles-e Showrā-ye Eslāmī),Islamic Consultative Assembly (مجلس شورای اسلامی  Majles-e Showrā-ye Eslāmī),Unicameral,4,popular vote,290,"259,136"
Iraq,Council of Representatives of Iraq (مجلس النواب العراقي Majlis Al-Niwab Al-Iraqi / ئه‌نجومه‌نی نوێنه‌ران Enjumen-e Nûnerên),Council of Representatives of Iraq (مجلس النواب العراقي Majlis Al-Niwab Al-Iraqi / ئه‌نجومه‌نی نوێنه‌ران Enjumen-e Nûnerên),Unicameral,4,proportionalopen list,329,"95,782"
Ireland,Parliament (Oireachtas),President of Ireland,President-in-Parliament,7,Instant-runoff voting,N/A,N/A
Ireland,Parliament (Oireachtas),House of Representatives of Ireland (Dáil Éireann),Lower,5,Proportional Representation Single Transferable Vote,158,"27,640"
Ireland,Parliament (Oireachtas),Senate of Ireland (Seanad Éireann),Upper,5,appointed by the prime minister and elected by universities,60,"76,470"
